incorrect_Word,correct_Word
 áp đặp, áp đặt 
 bải tập, bài tập 
 bào giảng, bài giảng 
 bào tập, bài tập 
 bỗ trợ, bổ trợ 
 bổ xung, bổ sung 
 buốn ngủ, buồn ngủ 
 cận kẽ, cặn kẽ 
 có lẻ, có lẽ 
 cọc lốc, cộc lốc 
 cơ sơ, cơ sở 
 chậm trể, chậm trễ 
 chích xác, chính xác 
 dễ giểu, dễ hiểu 
 dề hiểu, dễ hiểu 
 dễ hiêu, dễ hiểu 
 dễ hiều, dễ hiểu 
 dễ hiễu, dễ hiểu 
 dễ hiệu, dễ hiểu 
 dế hiểu, dễ hiểu 
 dể tiếp thu, dễ tiếp thu 
 dể tiếp, dễ tiếp 
 dể, dễ 
 diễu hiểu, dễ hiểu 
 đảm bào, đảm bảo 
 điểu kiện, điều kiện 
 đỗ lỗi, đổ lỗi 
 gán kết, gắn kết 
 gần gủi, gần gũi 
 gẫn gũi, gần gũi 
 giáp đáp, giải đáp 
 giúp đở, giúp đỡ 
 hài hòng, hài lòng 
 hiệu quá, hiệu quả 
 hỗi trợ, hỗ trợ 
 hưng thú, hứng thú 
 hường dẫn, hướng dẫn 
 kiến thúc, kiến thức 
 khắc khe, khắt khe 
 khôg, không 
 không kiệp, không kịp 
 lang mang, lan man 
 loàng ngoằng, loằng ngoằng 
 luôn cóc, luôn có 
 niền vui, niềm vui 
 ngiêm, nghiêm 
 ngủ gục, ngủ gật 
 nhác nhở, nhắc nhở 
 nhannh, nhanh 
 nhiết tình, nhiệt tình 
 nhiệt thình, nhiệt tình 
 phà trò, pha trò 
 phụ vụ, phục vụ 
 phục vu, phục vụ 
 quoa loa, qua loa 
 tinh huống, tình huống 
 thảo thuận, thảo luận 
 thẳng thắng, thẳng thắn 
 thân thiên, thân thiện 
 thận thiện, thân thiện 
 thân thiệt, thân thiện 
 thết bị, thiết bị 
 thuc tiễn, thực tiễn 
 trôi trải, trôi chảy 
 văn hoá, văn hóa 
 vủi vẻ, vui vẻ 
 xứng dáng, xứng đáng 
 0 có gì, không có gì 
 0 hề , không hề 
 0 hiểu, không hiểu 
 0 nát, không nát 
 0 quen, không quen 
 0 thích, không thích 
 0 ưa, không ưa 
 0đ , 0 điểm 
 0ff , off 
 0k , ok 
 10d , 10 điểm 
 10đ , 10 điểm 
 10điểm, 10 điểm 
 1đ , 1 điểm 
 1đ cộng, 1 điểm cộng 
 1đ cộng,1 điểm cộng 
 1điểm trừ,1 điểm trừ 
 1điểm, 1 điểm 
 1sao, 1 sao 
 2đ , 2 điểm 
 2điểm, 2 điểm 
 2sao, 2 sao 
 4sao, 4 sao 
 5 sao, 5 sao 
 5aao, 5 sao 
 5aao, 5sao 
 5đ , 5 điểm 
 5sao, 5 sao 
 5star, 5 star 
 6đ , 6 điểm 
 7d , 7 điểm 
 7đ , 7 điểm 
 8d , 8 điểm 
 8đ , 8 điểm 
 9d , 9 điểm 
 9đ , 9 điểm 
 ác đi, át đi 
 ác hết, át hết 
 ác luôn, át luôn 
 ác mất, át mất 
 ác mùi, át mùi 
 ác vị, át vị 
 ai cung bit, ai cũng biết 
 akay, ok 
 amazing, amazing 
 an la ghien, ăn là ghiền 
 an no , ăn no 
 an tiep, ăn tiếp 
 an toạ , an tọa 
 an tượng, ấn tượng 
 anti, anti 
 angrily, angry 
 ao ao, ào ào 
 ao loi, ảo lòi 
 áp dụg, áp dụng 
 ap dung, áp dụng 
 ap dụng, áp dụng 
 áp đụng, áp dụng 
 ap lưc, áp lực 
 ass, ass 
 at bơt, át bớt 
 át đc, át được 
 at hêt, át hết 
 át i hết, át đi hết 
 at mui, át mùi 
 at tiêng, át tiếng 
 ẳm bồng bế , ẵm bồng bế 
 ẳm bồng, ẵm bồng 
 ắm đâu, ấm đầu 
 ẳm lại, ẵm lại 
 ẳm lên, ẵm lên 
 ẳm qua , ẵm qua 
 ẳm xuống, ẵm xuống 
 ăn bành bụng, ăn bành bụng 
 ăn bẹt nhè, ăn bét nhè 
 ăn cưngs, ăn cứng 
 ăn mai, ăn mãi 
 ăn nhằm, ăn nhầm 
 ăn nhìu, ăn nhiều 
 ăn tiêp, ăn tiếp 
 ănngon, ăn ngon 
 ặng mùi, nặng mùi 
 ắt hết, át hết 
 ấ n tương, ấn tượng 
 âm 100đ , âm 100 điểm 
 ẫm 2 bé , ẵm 2 bé 
 ấm ám, ấm áp 
 âm ap lalung, ấm áp lạ lùng 
 âm ap, ấm áp 
 âm áp, ấm áp 
 âm âm, âm ấm 
 ầm âm, ầm ầm 
 ấm ấp, ấm áp 
 ẫm con, ẵm con 
 ấm cúg, ấm cúng 
 ấm cúm, ấm cúng 
 âm cunng, ấm cúng 
 âm cung, ấm cúng 
 âm cúng, ấm cúng 
 ấm cung, ấm cúng 
 ấm cùng, ấm cúng 
 ấm cũng, ấm cúng 
 ấm cúq, ấm cúng 
 âm I , ầm ĩ 
 âm long, ấm lòng 
 ẩm móc, ẩm mốc 
 âm môc, ẩm mốc 
 ẫm mốc, ẩm mốc 
 ấm mốc, ẩm mốc 
 âm nong, ấm nóng 
 ậm qf, ậm ờ 
 âm tương, ấn tượng 
 ấm tượng, ấn tượng 
 âm thâm, âm thầm 
 âm thâp, ẩm thấp 
 âm thấp, ẩm thấp 
 ấm úng, ấp úng 
 âm ương, ẩm ương 
 ầm xún , ẵm xuống 
 ầm xuống, ẵm xuống 
 ầm ỹ , ầm ĩ 
 âm yếm, âu yếm 
 ân cầm, ân cần 
 ân cân, ân cần 
 ẩn giật, ẩn giật 
 ân hiên, ẩn hiện 
 ấn tươg, ấn tượng 
 ấn tượg, ấn tượng 
 ân tương tôt, ấn tượng tốt 
 ân tương, ấn tượng 
 ân tượng, ấn tượng 
 ẩn tượng, ấn tượng 
 ấn tương, ấn tượng 
 ấn tựơng, ấn tượng 
 ấn thượng, ấn tượng 
 ând tượng, ấn tượng 
 âns tương, ấn tượng 
 ấp a ấp úm, ấp a ấp úng 
 ế ấm, ế ẩm 
 hông có dzui, không có vui 
 iêu, yêu 
 im ăng, im ắng 
 it cay, ít cay 
 it khi, ít khi 
 k , không 
 ko , không 
 m át mát, mát mát 
 on ao , ồn ào 
