Word,Token
0 điểm,0_điểm
1 điểm cộng,1_điểm_cộng
1 điểm trừ,1_điểm_trừ
1 nùi,1_nùi
1 sao,1_sao
10 điểm,10_điểm
2 điểm,2_điểm
2 sao,2_sao
3 không,3_không
4 sao,4_sao
5 điểm,5_điểm
5 sao,5_sao
5 star,5_star
6 điểm,6_điểm
7 điểm,7_điểm
8 điểm,8_điểm
9 điểm,9_điểm
ác đức,ác_đức
ác lắm,ác_lắm
ác nữa,ác_nữa
ác quá,ác_quá
ai cũng biết,ai_cũng_biết
ám mùi,ám_mùi
an tọa,an_tọa
áng đường,áng_đường
anh anh em em,anh_anh_em_em
ánh đèn nhẹ,ánh_đèn_nhẹ
ánh mắt khi dễ,ánh_mắt_khi_dễ
ảo ảo,ảo_ảo
ảo dã man,ảo_dã_man
ảo diệu,ảo_diệu
ào đến,ào_đến
ảo giá,ảo_giá
ảo lòi,ảo_lòi
ảo tung chảo,ảo_tung_chảo
ào vô,ào_vô
áp áp,áp_áp
áp mái,áp_mái
áp phê,áp_phê
áp sát,áp_sát
át bớt,át_bớt
át cả,át_cả
át các vị,át_các_vị
át đi hết,át_đi_hết
át đi,át_đi
át được,át_được
át hẳn,át_hẳn
át hết,át_hết
át hoàn toàn,át_hoàn_toàn
át luôn,át_luôn
át mất,át_mất
át mùi,át_mùi
át tiếng,át_tiếng
át vị,át_vị
ặc ặc,ặc_ặc
ẵm 2 bé,ẵm_2_bé
ẵm bồng,ẵm_bồng
ẵm con,ẵm_con
ẵm lại,ẵm_lại
ẵm lên,ẵm_lên
ẵm qua,ẵm_qua
ẵm xuống,ẵm_xuống
ăn banh bụng,ăn_banh_bụng
ăn bành bụng,ăn_bành_bụng
ăn bét nhè,ăn_bét_nhè
ăn cánh cửa,ăn_cánh_cửa
ăn cứng,ăn_cứng
ăn hóa đơn,ăn_hóa_đơn
ăn là ghiền,ăn_là_ghiền
ăn mãi,ăn_mãi
ăn muốn banh bụng,ăn_muốn_banh_bụng
ăn no,ăn_no
ăn ngon,ăn_ngon
ăn nhầm,ăn_nhầm
ăn nhiều,ăn_nhiều
ăn tiếp,ăn_tiếp
ăn thêm ăn bớt,ăn_thêm_ăn_bớt
ăn thua đủ,ăn_thua_đủ
ăn uống banh chành,ăn_uống_banh_chành
ăn xổi ở thì,ăn_xổi_ở_thì
âm 100 điểm,âm_100_điểm
ậm à,ậm_à
ấm áp lạ lùng,ấm_áp_lạ_lùng
âm ấm nóng,âm_ấm_nóng
ẩm ẩm,ẩm_ẩm
ấm ấm,ấm_ấm
ấm bụng,ấm_bụng
ấm cả lòng,ấm_cả_lòng
ấm cả người,ấm_cả_người
ấm cả sáng,ấm_cả_sáng
ấm chỗ,ấm_chỗ
ấm dã man,ấm_dã_man
ẩm dột,ẩm_dột
ẩm đặc,ẩm_đặc
ấm đầu,ấm_đầu
