Sentiment,Tokens,Reviews
negative,"['giáo_trình', 'cụ_thể']",giáo trình chưa cụ thể .
positive,"['giáo_viên', 'vui', 'tận_tâm']","giáo viên vui tính , tận tâm ."
negative,"['giảng', 'buồn_ngủ']",giảng buồn ngủ .
positive,"['giảng_viên', 'đảm_bảo', 'nội_dung', 'học', 'phân_tích', 'giải_tập']","giảng viên đảm bảo nội dung học , phân tích giải nhiều bài tập ."
negative,"['giảng_viên', 'giao', 'tập', 'chia', 'tập', 'giảng', 'kỹ', 'vấn_đề', 'trọng_tâm', 'môn_học', 'phương_pháp', 'học', 'hiệu_quả']","giảng viên nên giao bài tập nhiều hơn , chia nhóm để làm bài tập , giảng kỹ những vấn đề trọng tâm của môn học , đưa ra phương pháp để học hiệu quả hơn ."
positive,"['giáo_viên', 'tận_tình', 'chuẩn', 'học', 'chu_đáo']","giáo viên tận tình , chuẩn bị bài học chu đáo ."
negative,"['giảng_viên', 'giảng', 'chi_tiết', 'đi_sâu', 'code', 'chạy', 'thử', 'chương_trình', 'giảng']","giảng viên cần giảng bài chi tiết hơn , đi sâu hơn code và chạy thử chương trình có trong bài giảng nếu được ."
positive,"['giảng_viên', 'dạy', 'tâm_huyết']",giảng viên dạy hay và tâm huyết .
negative,"['giảng_viên', 'dạy', 'sinh_viên', 'hội', 'thực_hành', 'giao_tiếp']",nên có giảng viên nước ngoài dạy để sinh viên có cơ hội thực hành giao tiếp .
positive,[],nói chuyện dễ nghe .
negative,"['tập', 'đồ_án', 'môn_học']",nên có bài tập lớn đồ án môn học .
positive,"['mục_tiêu', 'môn_học', 'thầy', 'nhiệt_tình', 'giúp_đỡ', 'sinh_viên']","hiểu được mục tiêu của môn học , thầy nhiệt tình giúp đỡ sinh viên ."
negative,"['nêu', 'mục_tiêu', 'mục_đích', 'môn_học_sinh_viên', 'tiếp_thu', 'dàng']","nêu rõ mục tiêu , mục đích môn học để sinh viên tiếp thu dễ dàng ."
positive,"['truyền', 'bám_sát', 'đề', 'thi', 'giảng', 'cung']","truyền đạt tốt , bám sát đề thi , bài giảng cung cấp đầy đủ ."
negative,['vấn_đề'],có một số vấn đề nói chưa rõ .
positive,"['thầy', 'dạy', 'nhiệt_tình']",thầy cô dạy rất nhiệt tình !
negative,"['học_phí', 'đối_môn', 'thực_hành', 'ràng', 'minh_bạch', 'học', 'thực_hành', 'sinh_viên', 'hầu', 'sử_dụng', 'máy', 'trường', 'kiến_thức', 'học', 'giảng_viên', 'học', 'lý_thuyết']","cách tính học phí đối với môn thực hành không được rõ ràng và minh bạch , trong khi học thực hành sinh viên hầu như không sử dụng máy tính của trường và kiến thức học được từ giảng viên là rất ít so với học lý thuyết ."
positive,"['đồng_thời', 'giảng', 'thực_chi_tiết']","đồng thời , bài giảng , theo em nhìn nhận , thực sự rất chi tiết ."
negative,"['dạy', 'khó_hiểu', 'học_thiết', 'môn_học']","cô dạy khó hiểu , phải về nhà học thêm nhiều mới hiểu những gì cần thiết cho môn học ."
positive,"['ấn_tượng', 'tập', 'thở', 'giúp', 'não', 'ngơi']",rất ấn tượng với những bài tập thở giúp cho não bộ được nghĩ ngơi của cô .
negative,"['nội_dung', 'học', 'trừu_tượng', 'thực_hành', 'thực', 'hiệu_quả', 'đa', 'sinh_viên', 'thực_hành', 'tập', 'giao', 'thực_hành', 'xong', 'nghĩa', 'thực_tiễn', 'môn_học']","nội dung học quá trừu tượng , thực hành chưa thực sự mang lại hiệu quả , đa phần sinh viên thực hành theo bài tập được giao , thực hành xong không biết mình đang làm gì , không thấy được ý nghĩa thực tiễn của môn học ."
positive,"['thầy', 'nhiệt_tình', 'giảng']","thầy rất nhiệt tình , giảng bài rất hay và dễ hiểu ."
negative,"['đi', 'học', 'thực_hành']",cô nên thêm phần điểm đi học thực hành .
positive,"['nhiệt_tình', 'vui', 'giảng_viên']","sự nhiệt tình , vui tính của giảng viên ."
negative,"['sinh_viên', 'cảm_tình', 'sinh_viên', 'đối', 'giảng_viên']",cách nói chuyện với sinh viên gây mất cảm tình của sinh viên đối với giảng viên .
positive,"['dạy', 'bao']","cô dạy đều , bao giờ cũng đến sớm và đúng giờ ."
negative,"['mấy', 'hài', 'giải_quyết', 'vấn_đề', 'giảng_viên', 'giảng_viên', 'đi', 'trễ', 'thầy', 'trực', 'phòng', 'thực_hành', 'tiếng', 'bảo', '(', ')']","nhưng em không mấy hài lòng về cách giải quyết vấn đề của giảng viên khi giảng viên đã đi trễ như vậy , thầy trực phòng thực hành lên tiếng bảo em ( và một số bạn khác ) ra về ."
positive,"['thầy', 'dạy', 'tâm', 'mặc', 'môn_học', 'lịch_sử', 'khô_khan', 'học', 'giảng', 'thầy']","thầy dạy hay và có tâm , mặc dù môn học lịch sử khá khô khan nhưng chúng em hiểu được rất nhiều bài học qua bài giảng của thầy ."
negative,"['đôi', 'giảng_dạy', 'nhiệt_tình', 'quên', 'thời_gian', '(', 'học', 'giảng_viên', 'dạy', '10', '_', '15', 'phút', ')']",đôi khi giảng dạy quá nhiệt tình mà quên mất cả thời gian ( hết giờ học giảng viên vẫn dạy thêm 10 - 15 phút ) .
positive,[],rât tốt .
negative,"['ôn_tập', 'kỹ', 'thi', 'giảng_dạy', 'cập_nhật', 'vấn_đề', 'thể', 'thi']",ôn tập kỹ trước khi thi hoặc trong lúc giảng dạy cập nhật đến những vấn đề có thể cho ra trong bài thi .
positive,"['thầy', 'giảng']",thầy giảng bài dễ hiểu .
negative,"['mong', 'thầy', 'dạy', 'tận_tâm']",mong thầy dạy tận tâm hơn !
positive,"['giảng', 'vui']",giảng bài nghe rất dễ hiểu vui tính .
negative,"['thầy', 'hướng', 'cụ_thể']",thầy chưa có sự hướng dẫn cụ thể .
positive,"['thầy', 'dạy', 'demo', 'code', 'trực_tiếp', 'sinh_viên']","thầy dạy hay , demo code trực tiếp cho sinh viên dễ hiểu ."
negative,['đi'],không đi đúng giờ .
positive,"['thầy', 'vui', 'chuyên_môn', 'vững']","thầy vui tính , chuyên môn vững ."
negative,['môn'],môn này khó .
positive,"['dạy', 'đề_cương', 'ôn_tập', 'sát', 'đề', 'thi']","dạy đúng đề cương , ôn tập sát với đề thi ."
negative,"['đề', 'thi', 'thầy', 'kiểm_tra', 'kỹ', 'nội_dung', 'đề', 'sót', 'lỗi', 'điển_hình', 'doubledot', 'cột', 'bảng', 'trùng', 'khóa', 'oracle']","khi ra đề thi thầy nên kiểm tra kỹ nội dung đề , tránh để sót lỗi điển hình như doubledot tên cột của bảng trùng từ khóa của oracle ."
positive,"['dạy', 'tập', 'tận_tình']","cô dạy bài tập rất tận tình , dễ hiểu ."
negative,"['giảng_viên', 'sinh_viên', 'tập']",giảng viên chưa cho sinh viên bài tập về nhà .
positive,"['đề_cập', 'thực_tế', 'liên_quan_hệ_thống', 'kiến_thức']","đề cập về tính thực tế , liên quan của hệ thống kiến thức ."
negative,"['giảng_viên', 'lớp', 'hướng_nội_dung', 'thực_hành', 'sinh_viên']",giảng viên chỉ lên lớp còn lại không hướng dẫn nội dung thực hành cho sinh viên .
positive,"['thầy', 'nhiệt_tình', 'sẵn_sàng', 'câu', 'sinh_viên']","thầy rất nhiệt tình , sẵn sàng trả lời câu hỏi sinh viên ."
negative,"['giảng_viên', 'thực_hành', 'sinh_viên']",giảng viên thực hành chỉ gặp sinh viên rất ít .
positive,"['dạy', 'hơi', 'thở', 'tận_tâm', 'sinh_viên', 'sinh_viên', 'vấn_đề', 'đề', 'giải', 'cặn_kẽ', 'học_vấn_đề', 'liên_quan', 'môn_học', 'giúp', 'sinh_viên', 'định_hướng', 'học', 'môn', 'hứng_thú', 'sinh_viên', 'học_tập', 'đặc_biệt', 'tiếp', 'sinh_viên', 'định_kỳ', 'hỗ_trợ', 'sinh_viên']","cô dạy đến hơi thở cuối cùng , rất tận tâm với sinh viên , sinh viên không rõ vấn đề gì đề giải thích cặn kẽ , lâu lâu trong giờ học kể những vấn đề có liên quan tới môn học giúp cho sinh viên định hướng được học môn này để làm gì tạo hứng thú cho sinh viên học tập , đặc biệt cô có giờ tiếp sinh viên định kỳ để để hỗ trợ sinh viên em rất thích điều này ."
negative,"['đi', 'trễ']",còn đi trễ .
positive,"['cung', 'thông', 'bổ_sung', 'học', 'công_nghệ', 'thông', 'hiệu_quả']",ngoài ra cung cấp một vài thông tin bổ sung về việc học công nghệ thông tin hiệu quả hơn .
