Sentiment,Tokens,Reviews
negative,"['giáo_trình', 'chưa', 'cụ_thể']",giáo trình chưa cụ thể .
positive,"['giáo_viên', 'vui_tính', 'tận_tâm']","giáo viên vui tính , tận tâm ."
negative,"['giảng', 'buồn_ngủ']",giảng buồn ngủ .
positive,"['giảng_viên', 'đảm_bảo', 'nội_dung', 'học', 'phân_tích', 'giải', 'nhiều', 'bài_tập']","giảng viên đảm bảo nội dung học , phân tích giải nhiều bài tập ."
negative,"['giảng_viên', 'nên', 'giao', 'bài_tập', 'nhiều', 'hơn', 'chia', 'nhóm', 'để', 'làm', 'bài_tập', 'giảng', 'kỹ', 'những', 'vấn_đề', 'trọng_tâm', 'của', 'môn_học', 'đưa', 'ra', 'phương_pháp', 'để', 'học', 'hiệu_quả', 'hơn']","giảng viên nên giao bài tập nhiều hơn , chia nhóm để làm bài tập , giảng kỹ những vấn đề trọng tâm của môn học , đưa ra phương pháp để học hiệu quả hơn ."
positive,"['giáo_viên', 'tận_tình', 'chuẩn_bị', 'bài_học', 'chu_đáo']","giáo viên tận tình , chuẩn bị bài học chu đáo ."
negative,"['giảng_viên', 'cần', 'giảng', 'bài', 'chi_tiết', 'hơn', 'đi_sâu', 'hơn', 'code', 'và', 'chạy', 'thử', 'chương_trình', 'có', 'trong', 'bài', 'giảng', 'nếu', 'được']","giảng viên cần giảng bài chi tiết hơn , đi sâu hơn code và chạy thử chương trình có trong bài giảng nếu được ."
positive,"['giảng_viên', 'dạy', 'hay', 'và', 'tâm_huyết']",giảng viên dạy hay và tâm huyết .
negative,"['nên', 'có', 'giảng_viên', 'nước_ngoài', 'dạy', 'để', 'sinh_viên', 'có', 'cơ_hội', 'thực_hành', 'giao_tiếp']",nên có giảng viên nước ngoài dạy để sinh viên có cơ hội thực hành giao tiếp .
positive,"['nói_chuyện', 'dễ', 'nghe']",nói chuyện dễ nghe .
negative,"['nên', 'có', 'bài_tập', 'lớn', 'đồ_án', 'môn_học']",nên có bài tập lớn đồ án môn học .
positive,"['hiểu', 'được', 'mục_tiêu', 'của', 'môn_học', 'thầy', 'nhiệt_tình', 'giúp_đỡ', 'sinh_viên']","hiểu được mục tiêu của môn học , thầy nhiệt tình giúp đỡ sinh viên ."
negative,"['nêu', 'rõ', 'mục_tiêu', 'mục_đích', 'môn_học', 'để', 'sinh_viên', 'tiếp_thu', 'dễ_dàng']","nêu rõ mục tiêu , mục đích môn học để sinh viên tiếp thu dễ dàng ."
positive,"['truyền_đạt', 'tốt', 'bám_sát', 'đề', 'thi', 'bài', 'giảng', 'cung_cấp', 'đầy_đủ']","truyền đạt tốt , bám sát đề thi , bài giảng cung cấp đầy đủ ."
negative,"['có', 'một_số', 'vấn_đề', 'nói', 'chưa', 'rõ']",có một số vấn đề nói chưa rõ .
positive,"['thầy', 'cô', 'dạy', 'rất', 'nhiệt_tình']",thầy cô dạy rất nhiệt tình !
negative,"['cách', 'tính', 'học_phí', 'đối_với', 'môn', 'thực_hành', 'không', 'được', 'rõ_ràng', 'và', 'minh_bạch', 'trong', 'khi', 'học', 'thực_hành', 'sinh_viên', 'hầu_như', 'không', 'sử_dụng', 'máy_tính', 'của', 'trường', 'và', 'kiến_thức', 'học', 'được', 'từ', 'giảng_viên', 'là', 'rất', 'ít', 'so', 'với', 'học', 'lý_thuyết']","cách tính học phí đối với môn thực hành không được rõ ràng và minh bạch , trong khi học thực hành sinh viên hầu như không sử dụng máy tính của trường và kiến thức học được từ giảng viên là rất ít so với học lý thuyết ."
positive,"['đồng_thời', 'bài', 'giảng', 'theo', 'em', 'nhìn_nhận_thực_sự', 'rất', 'chi_tiết']","đồng thời , bài giảng , theo em nhìn nhận , thực sự rất chi tiết ."
negative,"['cô', 'dạy', 'khó_hiểu', 'phải', 'về', 'nhà', 'học', 'thêm', 'nhiều', 'mới', 'hiểu', 'những', 'gì', 'cần_thiết', 'cho', 'môn_học']","cô dạy khó hiểu , phải về nhà học thêm nhiều mới hiểu những gì cần thiết cho môn học ."
positive,"['rất', 'ấn_tượng', 'với', 'những', 'bài_tập', 'thở', 'giúp', 'cho', 'não', 'bộ', 'được', 'nghĩ', 'ngơi', 'của', 'cô']",rất ấn tượng với những bài tập thở giúp cho não bộ được nghĩ ngơi của cô .
negative,"['nội_dung', 'học', 'quá', 'trừu_tượng', 'thực_hành', 'chưa', 'thực_sự', 'mang', 'lại', 'hiệu_quả', 'đa_phần', 'sinh_viên', 'thực_hành', 'theo', 'bài_tập', 'được', 'giao', 'thực_hành', 'xong', 'không', 'biết', 'mình', 'đang', 'làm', 'gì', 'không', 'thấy', 'được', 'ý_nghĩa', 'thực_tiễn', 'của', 'môn_học']","nội dung học quá trừu tượng , thực hành chưa thực sự mang lại hiệu quả , đa phần sinh viên thực hành theo bài tập được giao , thực hành xong không biết mình đang làm gì , không thấy được ý nghĩa thực tiễn của môn học ."
positive,"['thầy', 'rất', 'nhiệt_tình', 'giảng', 'bài', 'rất', 'hay', 'và', 'dễ', 'hiểu']","thầy rất nhiệt tình , giảng bài rất hay và dễ hiểu ."
negative,"['cô', 'nên', 'thêm', 'phần', 'điểm', 'đi', 'học', 'thực_hành']",cô nên thêm phần điểm đi học thực hành .
positive,"['sự', 'nhiệt_tình', 'vui_tính', 'của', 'giảng_viên']","sự nhiệt tình , vui tính của giảng viên ."
negative,"['cách', 'nói_chuyện', 'với', 'sinh_viên', 'gây', 'mất', 'cảm_tình', 'của', 'sinh_viên', 'đối_với', 'giảng_viên']",cách nói chuyện với sinh viên gây mất cảm tình của sinh viên đối với giảng viên .
positive,"['cô', 'dạy', 'đều', 'bao_giờ', 'cũng', 'đến', 'sớm', 'và', 'đúng', 'giờ']","cô dạy đều , bao giờ cũng đến sớm và đúng giờ ."
negative,"['nhưng', 'em', 'không', 'mấy', 'hài_lòng', 'về', 'cách', 'giải_quyết', 'vấn_đề', 'của', 'giảng_viên', 'khi', 'giảng_viên', 'đã', 'đi', 'trễ', 'như', 'vậy', 'thầy', 'trực', 'phòng', 'thực_hành', 'lên_tiếng', 'bảo', 'em', '(', 'và', 'một_số', 'bạn', 'khác', ')', 'ra', 'về']","nhưng em không mấy hài lòng về cách giải quyết vấn đề của giảng viên khi giảng viên đã đi trễ như vậy , thầy trực phòng thực hành lên tiếng bảo em ( và một số bạn khác ) ra về ."
positive,"['thầy', 'dạy', 'hay', 'và', 'có', 'tâm', 'mặc_dù', 'môn_học', 'lịch_sử', 'khá', 'khô_khan', 'nhưng', 'chúng', 'em', 'hiểu', 'được', 'rất', 'nhiều', 'bài_học', 'qua', 'bài', 'giảng', 'của', 'thầy']","thầy dạy hay và có tâm , mặc dù môn học lịch sử khá khô khan nhưng chúng em hiểu được rất nhiều bài học qua bài giảng của thầy ."
negative,"['đôi_khi', 'giảng_dạy', 'quá', 'nhiệt_tình', 'mà', 'quên', 'mất', 'cả', 'thời_gian', '(', 'hết', 'giờ', 'học', 'giảng_viên', 'vẫn', 'dạy', 'thêm', '10', '_', '15', 'phút', ')']",đôi khi giảng dạy quá nhiệt tình mà quên mất cả thời gian ( hết giờ học giảng viên vẫn dạy thêm 10 - 15 phút ) .
positive,"['rất', 'tốt']",rât tốt .
negative,"['ôn_tập', 'kỹ', 'trước', 'khi', 'thi', 'hoặc', 'trong', 'lúc', 'giảng_dạy', 'cập_nhật', 'đến', 'những', 'vấn_đề', 'có_thể', 'cho', 'ra', 'trong', 'bài', 'thi']",ôn tập kỹ trước khi thi hoặc trong lúc giảng dạy cập nhật đến những vấn đề có thể cho ra trong bài thi .
positive,"['thầy', 'giảng', 'bài', 'dễ', 'hiểu']",thầy giảng bài dễ hiểu .
negative,"['mong', 'thầy', 'dạy', 'tận_tâm', 'hơn']",mong thầy dạy tận tâm hơn !
