Reviews,Sentiment
giáo trình chưa cụ thể .,negative
"giáo viên vui tính , tận tâm .",positive
giảng buồn ngủ .,negative
"giảng viên đảm bảo nội dung học , phân tích giải nhiều bài tập .",positive
"giảng viên nên giao bài tập nhiều hơn , chia nhóm để làm bài tập , giảng kỹ những vấn đề trọng tâm của môn học , đưa ra phương pháp để học hiệu quả hơn .",negative
"giáo viên tận tình , chuẩn bị bài học chu đáo .",positive
"giảng viên cần giảng bài chi tiết hơn , đi sâu hơn code và chạy thử chương trình có trong bài giảng nếu được .",negative
giảng viên dạy hay và tâm huyết .,positive
nên có giảng viên nước ngoài dạy để sinh viên có cơ hội thực hành giao tiếp .,negative
nói chuyện dễ nghe .,positive
nên có bài tập lớn đồ án môn học .,negative
"hiểu được mục tiêu của môn học , thầy nhiệt tình giúp đỡ sinh viên .",positive
"nêu rõ mục tiêu , mục đích môn học để sinh viên tiếp thu dễ dàng .",negative
"truyền đạt tốt , bám sát đề thi , bài giảng cung cấp đầy đủ .",positive
có một số vấn đề nói chưa rõ .,negative
thầy cô dạy rất nhiệt tình !,positive
"cách tính học phí đối với môn thực hành không được rõ ràng và minh bạch , trong khi học thực hành sinh viên hầu như không sử dụng máy tính của trường và kiến thức học được từ giảng viên là rất ít so với học lý thuyết .",negative
"đồng thời , bài giảng , theo em nhìn nhận , thực sự rất chi tiết .",positive
"cô dạy khó hiểu , phải về nhà học thêm nhiều mới hiểu những gì cần thiết cho môn học .",negative
rất ấn tượng với những bài tập thở giúp cho não bộ được nghĩ ngơi của cô .,positive
"nội dung học quá trừu tượng , thực hành chưa thực sự mang lại hiệu quả , đa phần sinh viên thực hành theo bài tập được giao , thực hành xong không biết mình đang làm gì , không thấy được ý nghĩa thực tiễn của môn học .",negative
"thầy rất nhiệt tình , giảng bài rất hay và dễ hiểu .",positive
cô nên thêm phần điểm đi học thực hành .,negative
"sự nhiệt tình , vui tính của giảng viên .",positive
cách nói chuyện với sinh viên gây mất cảm tình của sinh viên đối với giảng viên .,negative
"cô dạy đều , bao giờ cũng đến sớm và đúng giờ .",positive
"nhưng em không mấy hài lòng về cách giải quyết vấn đề của giảng viên khi giảng viên đã đi trễ như vậy , thầy trực phòng thực hành lên tiếng bảo em ( và một số bạn khác ) ra về .",negative
"thầy dạy hay và có tâm , mặc dù môn học lịch sử khá khô khan nhưng chúng em hiểu được rất nhiều bài học qua bài giảng của thầy .",positive
đôi khi giảng dạy quá nhiệt tình mà quên mất cả thời gian ( hết giờ học giảng viên vẫn dạy thêm 10 - 15 phút ) .,negative
rât tốt .,positive
ôn tập kỹ trước khi thi hoặc trong lúc giảng dạy cập nhật đến những vấn đề có thể cho ra trong bài thi .,negative
thầy giảng bài dễ hiểu .,positive
mong thầy dạy tận tâm hơn !,negative
giảng bài nghe rất dễ hiểu vui tính .,positive
thầy chưa có sự hướng dẫn cụ thể .,negative
