Reviews,Sentiment
"với lợi thế toạ lạc ngay trung tâm thành phố, nên khi ở khách sạn icon 36 saigon đi đâu cũng dễ dàng. bên cạnh đó, chất lượng phòng đúng mong đợi, cách bài trí nội thất khá khang trang, dọn phòng ngăn nắp.",positive
"khách sạn cũ , hồ bơi nhỏ. vị trí của khách sạn không đẹp.",negative
"khách sạn icon 36 có vị trí khá thuận lợi là thuộc khu trung tâm thành phố nên khá thuận tiện cho công việc của tôi. khách sạn ở đây ổn. tôi không có gì phàn nàn. phòng ốc sạch sẽ, tiện nghi đầy đủ. nhân viên lịch sự, thân thiện. ăn sáng ngon.",positive
khăn trải giường và chăn có mùi xả gây khó chịu. khách sạn ồn ào.,negative
vị trí ok thuận tiện cho việc đi lại. nhân viên phục vụ tốt và giá cả hợp lý. nhìn chung tôi thấy mọi thứ cũng được. không có phiền lòng gì khi ở đây.,positive
phòng có mùi khó chịu khách sạn gần đường tàu nên cũng hơi bị ồn. khách sạn không có chỗ để xe máy qua đêm. xe ô tô càng không có chỗ để.,negative
"chọn khách sạn này nghỉ ngơi. vì có vị trí phù hợp với yêu cầu đi lại của tôi. chất lượng khách sạn thì tốt. nhân viên vui vẻ, nhiệt tình với khách hàng. phòng ở được giữ gìn vệ sinh sạch sẽ. nội thất, tiện nghi cần thiết đầy đủ.",positive
"khách sạn tốt, tiện nghi đầy đủ. nhân viên nhiệt tình thân thiện. tuy nhiên  do tôi hơi kỹ tính nên chưa được hài lòng về nhà vệ sinh. tôi có cảm giác không được sạch. tôi rất dị ứng với vấn đề này.",negative
"mọi thứ ổn, các dịch vụ kèm theo đáp ứng được yêu cầu của khách, dịch vụ phòng tốt, vệ sinh tốt, sạch sẽ, tiện nghi đầy đủ, các tiện ích đạt tiêu chuẩn và tương xứng với giá cả. nhân viên vui vẻ, lịch sự, tôi hài lòng khi nghỉ tạisilver creek city resort, giá cả tương xứng với dịch vụ.",positive
phòng khách sạn hơi nhỏ. vệ sinh chưa sạch sẽ cho lắm. tiện nghi chưa tốt chăn drap nhìn cũ. mình thấy chỉ tạm ổn.,negative
"mọi thứ thuộc về khách sạn kỳ hòa đều ok, dịch vụ bên mytour cũng. vậy, tôi từng đặt phòng bên công ty nhiều rồi nên khá yên tâm. lần này cũng thế, khách sạn giao phòng đúng giờ, phòng được dọn dẹp sạch sẽ, trang thiết bị sử dụng ổn, thái độ nhân viên tốt. bữa sáng phục vụ ngon, đầy đủ món.",positive
phòng hơi nhỏ và có 01 phòng không có cửa sổ.,negative
"khách sạn kỳ hòa có thiết kế đẹp, căn phòng ở đây nhìn sáng sủa và cũng tương đối rộng. tọa lạc ở khu vực tương đối sầm uất, xung quanh có nhiều trung tâm mua sắm hay những nhà hàng ăn uống. do đó cũng thuận tiện. tôi ở đây thấy thoải mái. không phiền lòng điều gì.",positive
phòng khách sạn hơi nhỏ. nhưng được thiết kế trang nhã  hài hòa. nói chung là tạm được. tuy nhiên thì mặt tiền của khách sạn nhỏ. đường trong phố cổ cũng không tiện nếu di chuyển bằng ô tô. khách sạn cũng không có chỗ đỗ ô tô riêng.,negative
"mọi thứ ở khách sạn kỳ hòa này đều tốt. không có điểm gì khiến tôi than phiền cả. điều kiện ở đáp ứng được các tiêu chí về sự tiện nghi và sạch sẽ. thái độ phục vụ của nhân viên vừa lịch sự, lại thân thiện.",positive
"tôi đã đặt phòng để ở 5 ngày tại đây, họ cho chúng tôi phòng 266 nằm giữa lầu 2 và cạnh cầu thang. căn phòng có thiết kế khá kì lạ và cực kì ồn ào khiến tôi khá khó chịu.",negative
"đến khách sạn kỳ hòa nghỉ lại tôi cảm thấy rất hài lòng, mọi thông tin của căn phòng đều đúng như trước đó tôi được quảng cáo. nhân viên dọn phòng cẩn thận, đối xử với khách hàng cũng tử tế. vị trí thuận tiện cho công việc của tôi và giá tiền như thế là hợp lý. tôi không phàn nàn điểm nào.",positive
phòng sạch  tuy nhiên có rất ít nước nóng. nhân viên thân thiện nhưng mỗi lần bạn bước vào. họ đều hỏi bạn có muốn book tour đi đâu không. 1 lần thì được chứ nhiều lần thì rất phiền.,negative
"tôi đánh giá cao khách sạn kỳ hòa này, theo cá nhân tôi thấy thì dịch vụ như vậy là tốt, dịch vụ đạt tiêu chuẩn và tương xứng với giá cả. phòng thì được vệ sinh sạch sẽ, đầy đủ tiện nghi. nhân viên cũng lịch sự, vui vẻ. vị trí đi lại thuận tiện. mọi thứ đều ổn, không có gì phàn nàn. tôi hài lòng khi nghỉ tại đây. không gian xung quanh cũng rộng rãi, thoáng mát.",positive
tuy nhiên  khách sạn không có thang máy  đi lại hơi bất tiện chút.,negative
"chất lượng phòng ốc đúng mong đợi, trang bị tiện nghi đầy đủ, dọn dẹp vệ sinh sạch sẽ tinh tươm. cộng với địa điểm thuận tiện di chuyển đủ làm tôi cảm thấy hài lòng khi ở khách sạn khách sạn new sunny này.",positive
"lúc tôi đến nhận phòng thì khách sạn báo hết phòng và chuyển tôi sang một khách sạn khác có chất lượng kém hơn, phòng ở đây rất nhỏ. tình trạng như vậy mà khách sạn không hề báo trước với tôi. tôi không hài lòng cách hỗ trợ khách ở đây.",negative
"khách sạn new sunny nằm ngay quận 1, một quận trung tâm của thành phố nên đi lại dễ dàng mà giá cả hợp lí. thái độ nhân viên tốt. tôi được bố trí nghỉ ngơi ở phòng ốc sạch sẽ, tiện nghi cơ bản là đầy đủ, hiện đại.",positive
"khách sạn có tiện nghi cũ. phục vụ nhiệt tình, vệ sinh chưa sạch cho lắm. chất lượng kém hơn so với giá cả.",negative
"tôi đánh giá khách sạn new sunny có chất lượng cũng được. nhân viên thân thiện, chu đáo, vị trí ngay trung tâm thuận tiện cho việc tham quan cũng như mua sắm của tôi. nhưng bữa sáng ở đây hơi ít món. không được phong phú cho lắm.",positive
buổi sáng sẽ hơi ồn. vì xung quanh là các cửa hàng làm rèn.,negative
"từng nghỉ ngơi tại khách sạn này nên nhận thấy chất lượng khách sạn này tốt. những bạn nhân viên khách sạn làm việc khá tốt. phòng ở được trang bị tiện nghi, nội thất cần thiết đầy đủ và dọn dẹp vệ sinh sạch sẽ.",positive
phòng khách sạn không đáp ứng tiêu chuẩn như giới thiệu trên agoda và điều hoà nhiệt độ không đủ lạnh cho phòng.,negative
"tôi không phàn nàn gì và đánh giá khách sạn mi linh tốt. phòng ốc sạch sẽ, tiện nghi. nhưng phòng hơi nhỏ. vị trí khách sạn cũng tương đối gần trung tâm nên cũng thuận tiện cho việc tham quan cũng như mua sắm của tôi.",positive
"cái gì cũng được mà dao cạo râu không có, đắng lòng.",negative
"trong chuyến đi vừa qua thì tôi có đặt phòng tại khách sạn mi linh thông qua hệ thống của công ty mytour và theo ý kiến khách quan của tôi thì tôi không phàn nàn gì về nơi đây. phòng sạch sẽ, tiện nghi, nhân viên ok.",positive
khách sạn này đẹp được xây dựng trên hồ tây. nhưng rất tiếc là quá nhiều muỗi nên tôi không dám mở bất cứ cửa nào trong phòng để đón không khí trong lành được.,negative
"tôi hài lòng với chất lượng những dịch vụ khách sạn này đang cung cấp đến khách hàng. nhân viên có thái độ phục vụ khách hàng vui vẻ, nhiệt tình. phòng ốc được giữ gìn vệ sinh sạch sẽ và trang bị tiện nghi đầy đủ.",positive
tôi đặt phòng deluxe double. nhưng diện tích rất nhỏ  nhìn chỉ như tiêu chuẩn phòng standard.,negative
"tôi chọn dịch vụ khách sạn này là. vì có vị trí gần trung tậm và thuận tiện đi lại. phòng ốc khách sạn bố trí rất gọn gàng và sạch sẽ, thái độ phục vụ đón tiếp khách tốt nữa. nên tôi cảm thấy rất hài lòng và ấn tượng về dịch vụ này.",positive
tiện nghi chưa thật đầy đủ.,negative
tuy thời gian trải nghiệm dịch vụ của khách sạn victory không lâu lắm nhưng nhìn chung dịch vụ chất lượng được. nhân viên thể hiện được sự lịch sự và thân thiện với khách hàng. phòng ở đảm bảo sự sạch sẽ.,positive
ở tầng 6 phòng 601 wifi hơi yếu.,negative
"khách sạn không những thuận tiện đi lại mà cũng sạch sẽ nữa. nhân viên nhiệt tình, vui vẻ. riêng bữa sáng cũng bình thường.",positive
"cách phục vụ thì chưa tốt lắm. ngày đầu tiên tôi đến, khách sạn đột xuất hết phòng nên tôi phải ở khách sạn khác một ngày.",negative
"trong chuyến đi đến sài gòn vừa qua, tôi đã tin tưởng và chọn dịch vụ ở khách sạn victory cho người nhà của mình. phản hồi về khách sạn này là tốt, nên tôi cũng cảm thấy hài lòng với sự lựa chọn lần này. phòng ốc chuẩn bị chỉnh chu, nhân viên nhẹ nhàng hướng dẫn.",positive
"tôi thấy khách sạn chỉ tạm ổn, có thể chấp nhận được.",negative
tôi chỉ ở có 1 đêm ở đây và thấy phòng ốc khách sạn cũng khá ổn. thái độ phục vụ đón tiếp khách nhiệt tình chu đáo tôi cảm thấy hài lòng về nơi này và không có điều gì để phàn nàn ở đây cả. sẽ ủng hộ mytour nếu có dịp.,positive
"khu vực đón tiếp khách không được chuyên nghiệp. mọi người cười nói, cho con nhỏ ngồi ngay trên bàn. tôi cảm thấy rất phản cảm và không được hài lòng.",negative
trong chuyến đi vừa qua thì tôi có lựa chọn khách sạn - nhà hàng nhạn trắng làm điểm lưu trú. điểm duy nhất tôi chưa được ưng ý lắm là. trong phòng tắm ở khách sạn không có quạt hút mùi. còn lại mọi thứ đều khá ok.,positive
diện tích phòng hơi nhỏ. phong cảnh xung quanh cũng chưa được đẹp.,negative
"vừa qua, tôi có chọn khách sạn phoenix sài gòn làm điểm dừng chân của tôi tại hồ chí minh. nhìn chung, tôi thấy chất lượng dịch vụ ở đây cũng ok. phòng ốc sạch sẽ, tươm tất, đầy đủ vật dụng cho tôi sử dụng.",positive
tôi sẽ không bao giờ quay trở lại khách sạn này lần thứ hai.,negative
"khi về thì không phàn nàn gì về chất lượng khách sạn này. vì thế, tôi có thể đánh giá chất lượng khách sạn này ở mức khá tốt.",positive
chưa hài lòng về nội thất khách sạn. đồ ăn sáng không ngon.,negative
"chọn khách sạn này nghỉ ngơi. vì vị trí khách sạn phù hợp với yêu cầu đi lại của tôi. giá cả phù hợp với chất lượng. nhân viên phục vụ khách hàng vui vẻ, lịch sự. trang thiết bị, tiện nghi cần thiết được cung cấp đầy đủ.",positive
"phòng ốc nhỏ ,nhân viên không thân thiện lắm. phòng tắm hơi cũ không được sạch sẽ. tôi không hài lòng lắm với dịch vụ ở đây.",negative
"resort tốt, tiện nghi cũng được trang bị đầy đủ nhân viên nhiệt tình chu đáo. không có vấn đề gì khiến tôi phiền lòng khi nghỉ tại đây.",positive
tuy nhiên phòng hơi nhỏ và không được mới.,negative
