Reviews,Sentiment
2day ao khong giong trong,negative
Áo bao đẹp ạ!,positive
tất sờn hết ca chưa dùng mà vay r,negative
Tuyệt vời,positive
Cảm giác mua hàng bị hớ thật tệ,negative
"Mùi thơm,bôi lên da mềm da",positive
Khi mua về nên đi sửa lại,negative
"Vải đẹp, dày dặn",positive
Hàng hoá lừa đảo,negative
"Hàng rất đẹp, rất chi là ưng ý",positive
"Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì",negative
"Chất lượng sản phẩm tốt, date dài",positive
Đồng hồ mua về k sử dụg đc,negative
Ăn nói và thái độ phục vụ tốt,positive
"Giao thiếu 1b 80k , mà im re",negative
Đóng gói sản phẩm chắc chắn,positive
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực",negative
Shop phục vụ rất tốt,positive
"Chất vải xấu, xù",negative
Chất vải khỏi chê,positive
"Giày nhem nhuốc, ố bẩn + Box nát",negative
Thời gian giao hàng rất nhanh,positive
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương",negative
Chất lượng sản phẩm tuyệt vời,positive
Giao hàng khá chậm,negative
vải hơi thô cứng Thời gian giao hàng nhanh,positive
Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok,negative
Chất lượng sp chưa thật sự đẹp nhe shop,positive
Quần chưa kịp mặc đã bục 1 đoạn,negative
Rất đáng tiền Thời gian giao hàng rất nhanh,positive
Mạng chạy chậm quá,negative
Quần rất đẹp mặc vừa vặn,positive
"Giao nhầm hàng , ib shop k trả lời 😓😓😓",negative
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời,positive
Ống quần bên to bên nhỏ size s và l bằng nhau,negative
Giá cả chấp nhận được,positive
Giao hàng lâu,negative
Nchung là rất ổn ❤️,positive
Sz 34 mà Khung ngực nhỏ quá,negative
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua",positive
Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém,negative
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng",positive
Bàn tay mỏng nên ko nâng lắm,negative
😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗,positive
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi",negative
Giao hàng nhanh,positive
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm,negative
Thấy khá okz thanks shop,positive
Sz 2 bộ xanh và hồng ko giống nhau,negative
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều",positive
Âm thanh rất dở,negative
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng",positive
Xấu và nhìn phom áo chán đời luôn,negative
Thời gian giao hàng nhanh,positive
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm,negative
Ảnh in đẹp,positive
Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết,negative
Giá lại rẻ,positive
Màu ko đẹp như hình chup,negative
Quần áo super đẹp,positive
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào",negative
Thank shop,positive
Gối hơi nhỏ,negative
