Reviews,Sentiment
Anh ấy bị tự cao tự đại và khó hợp tác với người khác.,negative
Anh ấy có khả năng làm việc nhóm rất tốt.,positive
Anh ấy hay chạy theo tiền tài và không có tinh thần đồng cảm.,negative
"Anh ấy có tài năng về âm nhạc và luôn tìm cách tạo ra các bản nhạc mới, giúp nhóm thêm hoàn hảo và đa dạng hơn.",positive
Anh ấy hay đánh giá thấp người khác.,negative
Anh ấy có tâm huyết với việc giảng dạy và luôn chia sẻ kiến thức và kinh nghiệm cho mọi người trong lớp học.,positive
Anh ấy hay đưa ra những quan điểm sai lệch.,negative
Anh ấy có tâm huyết với việc giảng dạy và thường giúp đỡ các bạn học kém hơn mình hiểu bài tốt hơn.,positive
Anh ấy hay giật gân với người khác mà không có sự thấu hiểu.,negative
"Anh ấy có tình yêu với âm nhạc, giúp mọi người trong lớp hiểu rõ hơn về âm nhạc và đam mê đó.",positive
Anh ấy hay giật mình và không sẵn sàng khiến người khác bị stress.,negative
Anh ấy giỏi công nghệ thông tin và luôn đưa ra các giải pháp tối ưu cho các vấn đề kỹ thuật.,positive
Anh ấy hay phê bình người khác và không biết tôn trọng họ.,negative
Anh ấy giỏi giao tiếp và luôn tạo ra một môi trường thân thiện và hài hòa cho tất cả mọi người trong lớp.,positive
Anh ấy hay trì hoãn việc hoàn thành công việc.,negative
Anh ấy là một người có tinh thần đội nhóm rất tốt.,positive
Anh ấy hay xem thường những người khác trong nhóm.,negative
Anh ấy là một người đam mê và chuyên nghiệp trong lĩnh vực của mình.,positive
Anh ấy hầu như không bao giờ giúp đỡ người khác và chỉ quan tâm đến bản thân.,negative
"Anh ấy là một người đàn anh đáng ngưỡng mộ, luôn có tinh thần trách nhiệm và nhân ái.",positive
Anh ấy không biết lắng nghe và luôn cố ép buộc người khác đồng tình với ý kiến của mình.,negative
"Anh ấy là một người đồng đội tuyệt vời, chịu khó và luôn nỗ lực hết mình.",positive
Anh ấy không có sự kiên nhẫn và dễ cáu gắt với mọi người.,negative
"Anh ấy là một người đồng nghiệp cởi mở và hỗ trợ rất nhiệt tình, giúp em trở nên tự tin hơn.",positive
Anh ấy không chấp nhận ý kiến sai về phía mình.,negative
"Anh ấy là một người đồng nghiệp tốt bụng và tận tâm, luôn chia sẻ những chuyện học tập hữu ích với mọi người.",positive
Anh ấy không chịu trách nhiệm khi xảy ra vấn đề.,negative
"Anh ấy là một người huấn luyện viên thông minh và tận tâm, giúp các thành viên đội nhóm phát triển tốt hơn.",positive
Anh ấy không lắng nghe ý kiến của người khác một cách nghiêm túc.,negative
"Anh ấy là một người kỹ sư tài ba, có tư duy cao và khả năng giải quyết vấn đề.",positive
Anh ấy không quan tâm đến việc giúp đỡ người khác.,negative
"Anh ấy là một người quen thuộc và tốt bụng, giúp em trong nhiều việc khác nhau.",positive
