Score,pre_Sentiment,Sentiment,Tokens,Reviews
-2.0,negative,negative,"['giáo_trình', 'chưa', 'cụ_thể']",giáo trình chưa cụ thể .
2.0,positive,positive,"['giáo_viên', 'vui', 'tận_tâm']","giáo viên vui tính , tận tâm ."
-1.0,negative,negative,"['giảng', 'buồn_ngủ']",giảng buồn ngủ .
1.0,positive,positive,"['giảng_viên', 'đảm_bảo', 'nội_dung', 'học', 'phân_tích', 'giải_tập']","giảng viên đảm bảo nội dung học , phân tích giải nhiều bài tập ."
0.0,negative,negative,"['giảng_viên', 'nên', 'giao', 'tập', 'chia', 'tập', 'giảng', 'kỹ', 'vấn_đề', 'trọng_tâm', 'môn_học', 'phương_pháp', 'học', 'hiệu_quả']","giảng viên nên giao bài tập nhiều hơn , chia nhóm để làm bài tập , giảng kỹ những vấn đề trọng tâm của môn học , đưa ra phương pháp để học hiệu quả hơn ."
3.0,positive,positive,"['giáo_viên', 'tận_tình', 'chuẩn_bị', 'học', 'chu_đáo']","giáo viên tận tình , chuẩn bị bài học chu đáo ."
0.0,negative,negative,"['giảng_viên', 'cần', 'giảng', 'chi_tiết', 'đi_sâu', 'code', 'chạy', 'thử', 'chương_trình', 'có', 'giảng', 'được']","giảng viên cần giảng bài chi tiết hơn , đi sâu hơn code và chạy thử chương trình có trong bài giảng nếu được ."
2.0,positive,positive,"['giảng_viên', 'dạy', 'hay', 'tâm_huyết']",giảng viên dạy hay và tâm huyết .
-1.0,negative,negative,"['nên', 'có', 'giảng_viên', 'dạy', 'sinh_viên', 'có', 'hội', 'thực_hành', 'giao_tiếp']",nên có giảng viên nước ngoài dạy để sinh viên có cơ hội thực hành giao tiếp .
1.0,positive,positive,['dễ'],nói chuyện dễ nghe .
-2.0,negative,negative,"['nên', 'có', 'tập', 'đồ_án', 'môn_học']",nên có bài tập lớn đồ án môn học .
4.0,positive,positive,"['hiểu', 'được', 'mục_tiêu', 'môn_học', 'thầy', 'nhiệt_tình', 'giúp_đỡ', 'sinh_viên']","hiểu được mục tiêu của môn học , thầy nhiệt tình giúp đỡ sinh viên ."
1.0,positive,negative,"['nêu', 'mục_tiêu', 'mục_đích', 'môn_học_sinh_viên', 'tiếp_thu', 'dễ_dàng']","nêu rõ mục tiêu , mục đích môn học để sinh viên tiếp thu dễ dàng ."
3.0,positive,positive,"['truyền_đạt', 'tốt', 'bám_sát', 'đề', 'thi', 'giảng', 'cung', 'đủ']","truyền đạt tốt , bám sát đề thi , bài giảng cung cấp đầy đủ ."
-1.0,negative,negative,"['có', 'vấn_đề', 'chưa']",có một số vấn đề nói chưa rõ .
1.0,positive,positive,"['thầy', 'dạy', 'nhiệt_tình']",thầy cô dạy rất nhiệt tình !
-1.0,negative,negative,"['học_phí', 'đối_môn', 'thực_hành', 'không', 'được', 'ràng', 'minh_bạch', 'học', 'thực_hành', 'sinh_viên', 'hầu', 'không', 'sử_dụng', 'máy', 'trường', 'kiến_thức', 'học', 'được', 'giảng_viên', 'ít', 'học', 'lý_thuyết']","cách tính học phí đối với môn thực hành không được rõ ràng và minh bạch , trong khi học thực hành sinh viên hầu như không sử dụng máy tính của trường và kiến thức học được từ giảng viên là rất ít so với học lý thuyết ."
0.0,negative,positive,"['đồng_thời', 'giảng', 'thực_chi_tiết']","đồng thời , bài giảng , theo em nhìn nhận , thực sự rất chi tiết ."
2.0,positive,negative,"['dạy', 'khó_hiểu', 'phải', 'học', 'thêm', 'mới', 'hiểu', 'cần_thiết', 'môn_học']","cô dạy khó hiểu , phải về nhà học thêm nhiều mới hiểu những gì cần thiết cho môn học ."
3.0,positive,positive,"['ấn_tượng', 'tập', 'thở', 'giúp', 'não', 'được', 'ngơi']",rất ấn tượng với những bài tập thở giúp cho não bộ được nghĩ ngơi của cô .
0.0,negative,negative,"['nội_dung', 'học', 'trừu_tượng', 'thực_hành', 'chưa', 'thực', 'lại', 'hiệu_quả', 'đa', 'sinh_viên', 'thực_hành', 'tập', 'được', 'giao', 'thực_hành', 'xong', 'không', 'biết', 'không', 'được', 'nghĩa', 'thực_tiễn', 'môn_học']","nội dung học quá trừu tượng , thực hành chưa thực sự mang lại hiệu quả , đa phần sinh viên thực hành theo bài tập được giao , thực hành xong không biết mình đang làm gì , không thấy được ý nghĩa thực tiễn của môn học ."
4.0,positive,positive,"['thầy', 'nhiệt_tình', 'giảng', 'hay', 'dễ', 'hiểu']","thầy rất nhiệt tình , giảng bài rất hay và dễ hiểu ."
0.0,negative,negative,"['nên', 'thêm', 'đi', 'học', 'thực_hành']",cô nên thêm phần điểm đi học thực hành .
2.0,positive,positive,"['nhiệt_tình', 'vui', 'giảng_viên']","sự nhiệt tình , vui tính của giảng viên ."
-3.0,negative,negative,"['sinh_viên', 'gây', 'mất', 'cảm_tình', 'sinh_viên', 'đối', 'giảng_viên']",cách nói chuyện với sinh viên gây mất cảm tình của sinh viên đối với giảng viên .
2.0,positive,positive,"['dạy', 'đều', 'bao', 'đúng']","cô dạy đều , bao giờ cũng đến sớm và đúng giờ ."
-2.0,negative,negative,"['không', 'mấy', 'hài', 'giải_quyết', 'vấn_đề', 'giảng_viên', 'giảng_viên', 'đi', 'trễ', 'thầy', 'trực', 'phòng', 'thực_hành', 'tiếng', 'bảo', '(', ')']","nhưng em không mấy hài lòng về cách giải quyết vấn đề của giảng viên khi giảng viên đã đi trễ như vậy , thầy trực phòng thực hành lên tiếng bảo em ( và một số bạn khác ) ra về ."
4.0,positive,positive,"['thầy', 'dạy', 'hay', 'có', 'tâm', 'mặc', 'môn_học', 'lịch_sử', 'khá', 'khô_khan', 'hiểu', 'được', 'học', 'giảng', 'thầy']","thầy dạy hay và có tâm , mặc dù môn học lịch sử khá khô khan nhưng chúng em hiểu được rất nhiều bài học qua bài giảng của thầy ."
-3.0,negative,negative,"['đôi', 'giảng_dạy', 'nhiệt_tình', 'quên', 'mất', 'thời_gian', '(', 'hết', 'học', 'giảng_viên', 'dạy', 'thêm', '10', '_', '15', 'phút', ')']",đôi khi giảng dạy quá nhiệt tình mà quên mất cả thời gian ( hết giờ học giảng viên vẫn dạy thêm 10 - 15 phút ) .
1.0,positive,positive,['tốt'],rât tốt .
1.0,positive,negative,"['ôn_tập', 'kỹ', 'thi', 'giảng_dạy', 'cập_nhật', 'vấn_đề', 'có_thể', 'thi']",ôn tập kỹ trước khi thi hoặc trong lúc giảng dạy cập nhật đến những vấn đề có thể cho ra trong bài thi .
2.0,positive,positive,"['thầy', 'giảng', 'dễ', 'hiểu']",thầy giảng bài dễ hiểu .
1.0,positive,negative,"['mong', 'thầy', 'dạy', 'tận_tâm']",mong thầy dạy tận tâm hơn !
